idBusRoute;co;route;orig_tc;orig_en;dest_tc;dest_en;orig_Sc;dest_Sc;data_timestamp;modify_datetime
1;NWFB;101;堅尼地城;Kennedy Town;觀塘 (裕民坊);Kwun Tong (Yue Man Square);坚尼地城;观塘 (裕民坊);2019-11-07T05:00:02+08:00;2019-11-07 09:47:43;
2;NWFB;101R;跑馬地馬場;Happy Valley Racecourse;觀塘 (裕民坊);Kwun Tong (Yue Man Square);跑马地马场;观塘 (裕民坊);2019-11-07T05:00:02+08:00;2019-11-07 09:47:47;
3;NWFB;101X;堅尼地城;Kennedy Town;觀塘 (裕民坊);Kwun Tong (Yue Man Square);坚尼地城;观塘 (裕民坊);2019-11-07T05:00:02+08:00;2019-11-07 09:47:48;
4;NWFB;102R;跑馬地馬場;Happy Valley Racecourse;美孚;Mei Foo;跑马地马场;美孚;2019-11-07T05:00:02+08:00;2019-11-07 09:47:50;
5;NWFB;104;堅尼地城;Kennedy Town;白田邨;Pak Tin Estate;坚尼地城;白田邨;2019-11-07T05:00:02+08:00;2019-11-07 09:47:52;
6;NWFB;104R;中環碼頭;Central (Ferry Piers);旺角;Mong Kok;中环码头;旺角;2019-11-07T05:00:02+08:00;2019-11-07 09:47:55;
7;NWFB;105R;灣仔 (會展新翼);Wan Chai (HKCEC Extension);美孚;Mei Foo;湾仔 (会展新翼);美孚;2019-11-07T05:00:02+08:00;2019-11-07 09:47:56;
8;NWFB;106;小西灣 (藍灣半島);Siu Sai Wan (Island Resort);黃大仙;Wong Tai Sin;小西湾 (蓝湾半岛);黄大仙;2019-11-07T05:00:02+08:00;2019-11-07 09:47:57;
9;NWFB;106A;黃大仙;Wong Tai Sin;太古 (康怡廣場);Taikoo (Kornhill Plaza);黄大仙;太古 (康怡广场);2019-11-07T05:00:02+08:00;2019-11-07 09:48:01;
10;NWFB;106P;小西灣 (藍灣半島);Siu Sai Wan (Island Resort);黃大仙;Wong Tai Sin;小西湾 (蓝湾半岛);黄大仙;2019-11-07T05:00:02+08:00;2019-11-07 09:48:02;
11;NWFB;109;中環 (港澳碼頭);Central (Macau Ferry);何文田邨;Ho Man Tin Estate;中环 (港澳码头);何文田邨;2019-11-07T05:00:02+08:00;2019-11-07 09:48:05;
12;NWFB;110;筲箕灣;Shau Kei Wan;尖沙咀 (麼地道);Tsim Sha Tsui (Mody Road);筲箕湾;尖沙咀 (么地道);2019-11-07T05:00:02+08:00;2019-11-07 09:48:08;
13;NWFB;111;中環 (港澳碼頭);Central (Macau Ferry);坪石邨;Ping Shek Estate;中环 (港澳码头);坪石邨;2019-11-07T05:00:02+08:00;2019-11-07 09:48:10;
14;NWFB;111P;彩福邨;Choi Fook Estate;中環 (港澳碼頭);Central (Macau Ferry);彩福邨;中环 (港澳码头);2019-11-07T05:00:02+08:00;2019-11-07 09:48:12;
15;NWFB;111R;灣仔 (會展新翼);Wan Chai (HKCEC Extension);觀塘 (裕民坊);Kwun Tong (Yue Man Square);湾仔 (会展新翼);观塘 (裕民坊);2019-11-07T05:00:02+08:00;2019-11-07 09:48:14;
16;NWFB;112;北角 (百福道);North Point (Pak Fuk Road);蘇屋邨;So Uk Estate;北角 (百福道);苏屋邨;2019-11-07T05:00:02+08:00;2019-11-07 09:48:15;
17;NWFB;113;堅尼地城 (卑路乍灣);Kennedy Town (Belcher Bay);彩虹;Choi Hung;坚尼地城 (卑路乍湾);彩虹;2019-11-07T05:00:02+08:00;2019-11-07 09:48:18;
18;NWFB;115;中環 (港澳碼頭);Central (Macau Ferry);九龍城碼頭;Kowloon City Ferry Pier;中环 (港澳码头);九龙城码头;2019-11-07T05:00:02+08:00;2019-11-07 09:48:21;
19;NWFB;115P;海逸豪園;Laguna Verde;中環 (港澳碼頭);Central (Macau Ferry);海逸豪园;中环 (港澳码头);2019-11-07T05:00:02+08:00;2019-11-07 09:48:22;
20;NWFB;116;鰂魚涌 (祐民街);Quarry Bay (Yau Man Street);慈雲山 (中);Tsz Wan Shan (Central);鲗鱼涌 (祐民街);慈云山 (中);2019-11-07T05:00:02+08:00;2019-11-07 09:48:24;
21;NWFB;13;中環 (大會堂);Central (City Hall);旭龢道 (半山區);Kotewall Road (Mid-levels);中环 (大会堂);旭龢道 (半山区);2019-11-07T05:00:02+08:00;2019-11-07 09:48:27;
22;NWFB;14;嘉亨灣;Grand Promenade;赤柱炮台 (閘口)／馬坑;Stanley Fort (Gate) / Ma Hang;嘉亨湾;赤柱炮台 (闸口)／马坑;2019-11-07T05:00:02+08:00;2019-11-07 09:48:29;
23;NWFB;15;中環 (5 號碼頭);Central (Pier 5);山頂;The Peak;中环 (5 号码头);山顶;2019-11-07T05:00:02+08:00;2019-11-07 09:48:33;
24;NWFB;15B;灣仔 (會展新翼);Wan Chai (HKCEC Extension);山頂;The Peak;湾仔 (会展新翼);山顶;2019-11-07T05:00:02+08:00;2019-11-07 09:48:36;
25;NWFB;15C;中環 (天星碼頭);Central (Star Ferry);花園道 (山頂纜車總站);Garden Road (Lower Peak Tram Station);中环 (天星码头);花园道 (山顶缆车总站);2019-11-07T05:00:02+08:00;2019-11-07 09:48:38;
26;NWFB;15R;海洋公園;Ocean Park;山頂;The Peak;海洋公园;山顶;2019-11-07T05:00:02+08:00;2019-11-07 09:48:39;
27;NWFB;15X;天后;Tin Hau;山頂;The Peak;天后;山顶;2019-11-07T05:00:02+08:00;2019-11-07 09:48:40;
28;NWFB;18;北角 (健康中街);North Point (Healthy Street Central);上環;Sheung Wan;北角 (健康中街);上环;2019-11-07T05:00:02+08:00;2019-11-07 09:48:41;
29;NWFB;18P;堅尼地城 (卑路乍灣);Kennedy Town (Belcher Bay);北角 (健康中街);North Point (Healthy Street Central);坚尼地城 (卑路乍湾);北角 (健康中街);2019-11-07T05:00:02+08:00;2019-11-07 09:48:43;
30;NWFB;18X;筲箕灣／柴灣站;Shau Kei Wan / Chai Wan Station;堅尼地城 (卑路乍灣);Kennedy Town (Belcher Bay);筲箕湾／柴湾站;坚尼地城 (卑路乍湾);2019-11-07T05:00:02+08:00;2019-11-07 09:48:46;
31;NWFB;2;嘉亨灣;Grand Promenade;中環 (港澳碼頭);Central (Macau Ferry);嘉亨湾;中环 (港澳码头);2019-11-07T05:00:02+08:00;2019-11-07 09:48:49;
32;NWFB;23;北角碼頭;North Point Ferry Pier;蒲飛路;Pokfield Road;北角码头;蒲飞路;2019-11-07T05:00:02+08:00;2019-11-07 09:48:52;
33;NWFB;23B;寶馬山;Braemar Hill;柏道／羅便臣道;Park Road / Robinson Road;宝马山;柏道／罗便臣道;2019-11-07T05:00:02+08:00;2019-11-07 09:48:54;
34;NWFB;25;中環 (5 號碼頭);Central (Pier 5);寶馬山;Braemar Hill;中环 (5 号码头);宝马山;2019-11-07T05:00:02+08:00;2019-11-07 09:48:57;
35;NWFB;26;勵德邨;Lai Tak Tsuen;荷李活道;Hollywood Road;励德邨;荷李活道;2019-11-07T05:00:02+08:00;2019-11-07 09:49:00;
36;NWFB;27;北角碼頭;North Point Ferry Pier;寶馬山;Braemar Hill;北角码头;宝马山;2019-11-07T05:00:02+08:00;2019-11-07 09:49:03;
37;NWFB;2A;耀東邨;Yiu Tung Estate;灣仔北;Wan Chai North;耀东邨;湾仔北;2019-11-07T05:00:02+08:00;2019-11-07 09:49:05;
38;NWFB;2X;筲箕灣／愛秩序灣;Shau Kei Wan / Aldrich Bay;灣仔北;Wan Chai North;筲箕湾／爱秩序湾;湾仔北;2019-11-07T05:00:02+08:00;2019-11-07 09:49:08;
39;NWFB;301;紅磡 (海底隧道收費廣場);Hung Hom (Cross Harbour Tunnel Toll Plaza);上環;Sheung Wan;红磡 (海底隧道收费广场);上环;2019-11-07T05:00:02+08:00;2019-11-07 09:49:10;
40;NWFB;302;慈雲山 (北);Tsz Wan Shan (North);上環;Sheung Wan;慈云山 (北);上环;2019-11-07T05:00:02+08:00;2019-11-07 09:49:11;
41;NWFB;302A;慈雲山 (北);Tsz Wan Shan (North);北角 (健康村);North Point (Healthy Village);慈云山 (北);北角 (健康村);2019-11-07T05:00:02+08:00;2019-11-07 09:49:12;
42;NWFB;30X;數碼港;Cyberport;中環 (交易廣場);Central (Exchange Square);数码港;中环 (交易广场);2019-11-07T05:00:02+08:00;2019-11-07 09:49:14;
43;NWFB;33X;數碼港;Cyberport;西灣河;Sai Wan Ho;数码港;西湾河;2019-11-07T05:00:02+08:00;2019-11-07 09:49:16;
44;NWFB;38;置富花園;Chi Fu Fa Yuen;北角碼頭;North Point Ferry Pier;置富花园;北角码头;2019-11-07T05:00:02+08:00;2019-11-07 09:49:18;
45;NWFB;388;柴灣站;Chai Wan Station;柴灣墳場／歌連臣角;Chai Wan Cemeteries / Cape Collinson;柴湾站;柴湾坟场／歌连臣角;2019-11-07T05:00:02+08:00;2019-11-07 09:49:20;
46;NWFB;389;筲箕灣;Shau Kei Wan;柴灣墳場／歌連臣角;Chai Wan Cemeteries / Cape Collinson;筲箕湾;柴湾坟场／歌连臣角;2019-11-07T05:00:02+08:00;2019-11-07 09:49:21;
47;NWFB;38S;置富花園;Chi Fu Fa Yuen;銅鑼灣 (中央圖書館);Causeway Bay (Central Library);置富花园;铜锣湾 (中央图书馆);2019-11-07T05:00:02+08:00;2019-11-07 09:49:22;
48;NWFB;3A;中環 (天星碼頭);Central (Star Ferry);摩星嶺;Felix Villas;中环 (天星码头);摩星岭;2019-11-07T05:00:02+08:00;2019-11-07 09:49:23;
49;NWFB;4;華富 (南)／田灣;Wah Fu (South) / Tin Wan;中環;Central;华富 (南)／田湾;中环;2019-11-07T05:00:02+08:00;2019-11-07 09:49:25;
50;NWFB;42;華富 (南);Wah Fu (South);北角碼頭;North Point Ferry Pier;华富 (南);北角码头;2019-11-07T05:00:02+08:00;2019-11-07 09:49:28;
51;NWFB;42C;數碼港;Cyberport;北角碼頭;North Point Ferry Pier;数码港;北角码头;2019-11-07T05:00:02+08:00;2019-11-07 09:49:31;
52;NWFB;4X;華富 (南);Wah Fu (South);中環 (交易廣場);Central (Exchange Square);华富 (南);中环 (交易广场);2019-11-07T05:00:02+08:00;2019-11-07 09:49:33;
53;NWFB;590;海怡半島;South Horizons;中環 (交易廣場);Central (Exchange Square);海怡半岛;中环 (交易广场);2019-11-07T05:00:02+08:00;2019-11-07 09:49:36;
54;NWFB;595;海怡半島;South Horizons;香港仔;Aberdeen;海怡半岛;香港仔;2019-11-07T05:00:02+08:00;2019-11-07 09:49:37;
55;NWFB;601;金鐘 (東);Admiralty (East);寶達邨;Po Tat Estate;金钟 (东);宝达邨;2019-11-07T05:00:02+08:00;2019-11-07 09:49:39;
