idRouteStop;co;route;dir;seq;stop;data_timestamp;modify_datetime
1;NWFB;101;O;1;001152;2019-11-05T05:00:06+08:00;2019-11-05 14:29:41;
36;NWFB;101;I;1;002977;2019-11-05T05:00:06+08:00;2019-11-05 14:29:43;
73;NWFB;101R;O;1;002470;2019-11-05T05:00:06+08:00;2019-11-05 14:29:44;
94;NWFB;101X;O;1;001152;2019-11-05T05:00:06+08:00;2019-11-05 14:29:45;
113;NWFB;101X;I;1;002977;2019-11-05T05:00:06+08:00;2019-11-05 14:29:47;
133;NWFB;102R;O;1;002470;2019-11-05T05:00:06+08:00;2019-11-05 14:29:47;
146;NWFB;104;O;1;001152;2019-11-05T05:00:06+08:00;2019-11-05 14:29:49;
177;NWFB;104;I;1;002844;2019-11-05T05:00:06+08:00;2019-11-05 14:29:51;
219;NWFB;106;O;1;001382;2019-11-05T05:00:06+08:00;2019-11-05 14:29:55;
266;NWFB;106;I;1;002980;2019-11-05T05:00:06+08:00;2019-11-05 14:29:57;
316;NWFB;106A;O;1;002980;2019-11-05T05:00:06+08:00;2019-11-05 14:29:58;
337;NWFB;106P;O;1;001382;2019-11-05T05:00:06+08:00;2019-11-05 14:30:01;
378;NWFB;106P;I;1;002980;2019-11-05T05:00:06+08:00;2019-11-05 14:30:03;
418;NWFB;109;O;1;001027;2019-11-05T05:00:06+08:00;2019-11-05 14:30:04;
437;NWFB;109;I;1;002994;2019-11-05T05:00:06+08:00;2019-11-05 14:30:06;
456;NWFB;110;O;1;001207;2019-11-05T05:00:06+08:00;2019-11-05 14:30:08;
501;NWFB;111;O;1;001027;2019-11-05T05:00:06+08:00;2019-11-05 14:30:09;
525;NWFB;111;I;1;001654;2019-11-05T05:00:06+08:00;2019-11-05 14:30:11;
550;NWFB;111P;O;1;003289;2019-11-05T05:00:06+08:00;2019-11-05 14:30:11;
568;NWFB;112;O;1;002801;2019-11-05T05:00:06+08:00;2019-11-05 14:30:13;
591;NWFB;112;I;1;002836;2019-11-05T05:00:06+08:00;2019-11-05 14:30:15;
617;NWFB;113;O;1;001177;2019-11-05T05:00:06+08:00;2019-11-05 14:30:16;
655;NWFB;113;I;1;001698;2019-11-05T05:00:06+08:00;2019-11-05 14:30:18;
695;NWFB;115;O;1;001027;2019-11-05T05:00:06+08:00;2019-11-05 14:30:20;
716;NWFB;115;I;1;003026;2019-11-05T05:00:06+08:00;2019-11-05 14:30:21;
736;NWFB;115P;O;1;001808;2019-11-05T05:00:06+08:00;2019-11-05 14:30:22;
749;NWFB;116;O;1;002799;2019-11-05T05:00:06+08:00;2019-11-05 14:30:24;
781;NWFB;116;I;1;003028;2019-11-05T05:00:06+08:00;2019-11-05 14:30:25;
814;NWFB;13;O;1;002765;2019-11-05T05:00:06+08:00;2019-11-05 14:30:26;
833;NWFB;13;I;1;002763;2019-11-05T05:00:06+08:00;2019-11-05 14:30:28;
848;NWFB;14;O;1;003155;2019-11-05T05:00:06+08:00;2019-11-05 14:30:30;
886;NWFB;14;I;1;002400;2019-11-05T05:00:06+08:00;2019-11-05 14:30:31;
918;NWFB;15;O;1;001195;2019-11-05T05:00:06+08:00;2019-11-05 14:30:33;
948;NWFB;15;I;1;001096;2019-11-05T05:00:06+08:00;2019-11-05 14:30:34;
979;NWFB;15B;O;1;002557;2019-11-05T05:00:06+08:00;2019-11-05 14:30:36;
1004;NWFB;15B;I;1;001096;2019-11-05T05:00:06+08:00;2019-11-05 14:30:37;
1030;NWFB;15C;O;1;003339;2019-11-05T05:00:06+08:00;2019-11-05 14:30:38;
1033;NWFB;15C;I;1;002761;2019-11-05T05:00:06+08:00;2019-11-05 14:30:38;
1037;NWFB;18;O;1;002800;2019-11-05T05:00:06+08:00;2019-11-05 14:30:41;
1052;NWFB;18;I;1;001044;2019-11-05T05:00:06+08:00;2019-11-05 14:30:42;
1068;NWFB;18P;O;1;001177;2019-11-05T05:00:06+08:00;2019-11-05 14:30:43;
1088;NWFB;18P;I;1;002800;2019-11-05T05:00:06+08:00;2019-11-05 14:30:44;
1108;NWFB;18X;O;1;001294;2019-11-05T05:00:06+08:00;2019-11-05 14:30:46;
1140;NWFB;18X;I;1;001177;2019-11-05T05:00:06+08:00;2019-11-05 14:30:47;
1163;NWFB;2;O;1;003155;2019-11-05T05:00:06+08:00;2019-11-05 14:30:48;
1196;NWFB;2;I;1;001027;2019-11-05T05:00:06+08:00;2019-11-05 14:30:50;
1230;NWFB;23;O;1;001249;2019-11-05T05:00:06+08:00;2019-11-05 14:30:53;
1258;NWFB;23;I;1;001115;2019-11-05T05:00:06+08:00;2019-11-05 14:30:55;
1286;NWFB;23B;O;1;001250;2019-11-05T05:00:06+08:00;2019-11-05 14:30:56;
1319;NWFB;23B;I;1;001092;2019-11-05T05:00:06+08:00;2019-11-05 14:30:57;
1345;NWFB;25;O;1;001195;2019-11-05T05:00:06+08:00;2019-11-05 14:30:59;
1375;NWFB;25;I;1;002794;2019-11-05T05:00:06+08:00;2019-11-05 14:31:00;
1405;NWFB;26;O;1;002974;2019-11-05T05:00:06+08:00;2019-11-05 14:31:02;
1446;NWFB;27;O;1;001249;2019-11-05T05:00:06+08:00;2019-11-05 14:31:04;
1467;NWFB;27;I;1;001368;2019-11-05T05:00:06+08:00;2019-11-05 14:31:05;
1487;NWFB;2A;O;1;002676;2019-11-05T05:00:06+08:00;2019-11-05 14:31:06;
1510;NWFB;2A;I;1;003415;2019-11-05T05:00:06+08:00;2019-11-05 14:31:07;
1536;NWFB;2X;O;1;001207;2019-11-05T05:00:06+08:00;2019-11-05 14:31:09;
1551;NWFB;2X;I;1;003415;2019-11-05T05:00:06+08:00;2019-11-05 14:31:09;
1566;NWFB;301;O;1;001476;2019-11-05T05:00:06+08:00;2019-11-05 14:31:10;
1574;NWFB;302;O;1;001757;2019-11-05T05:00:06+08:00;2019-11-05 14:31:12;
1593;NWFB;302A;O;1;001757;2019-11-05T05:00:06+08:00;2019-11-05 14:31:13;
1612;NWFB;30X;O;1;002392;2019-11-05T05:00:06+08:00;2019-11-05 14:31:14;
1625;NWFB;30X;I;1;001144;2019-11-05T05:00:06+08:00;2019-11-05 14:31:16;
1640;NWFB;33X;O;1;002392;2019-11-05T05:00:06+08:00;2019-11-05 14:31:17;
1668;NWFB;38;O;1;002186;2019-11-05T05:00:06+08:00;2019-11-05 14:31:18;
1686;NWFB;38;I;1;001249;2019-11-05T05:00:06+08:00;2019-11-05 14:31:19;
1708;NWFB;388;O;1;001294;2019-11-05T05:00:06+08:00;2019-11-05 14:31:21;
1720;NWFB;389;O;1;001207;2019-11-05T05:00:06+08:00;2019-11-05 14:31:22;
1731;NWFB;3A;O;1;001171;2019-11-05T05:00:06+08:00;2019-11-05 14:31:24;
1752;NWFB;3A;I;1;002691;2019-11-05T05:00:06+08:00;2019-11-05 14:31:25;
1772;NWFB;4;O;1;002299;2019-11-05T05:00:06+08:00;2019-11-05 14:31:27;
